Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Unemployed,18-24,High School, Fintech,Bangalore,High,16.0,123100.0,10/25/2024
Employed,35-44,Not Provided,Retail,Mumbai,Low,16.0,59500.0,10/26/2024
Employed,18-24,Diploma,Retail,Hyderabad,High,16.0,76886.0,10/27/2024
Unemployed,25-34,Bachelors,Tech ,Not Provided,High,16.0,115400.0,10/28/2024
Unemployed,45-54,Diploma,Retail,Urban,Moderate,16.0,13100.0,10/29/2024
Employed,35-44,Phd, Fintech,Not Provided,Low,5.0,76886.0,10/30/2024
Employed,55+,Phd,Healthcare,Not Provided,High,16.0,76886.0,10/31/2024
Employed,18-24,Bachelors,Retail,Urban,High,28.0,76886.0,11/1/2024
Employed,25-34,Not Provided,Tech ,Bangalore,High,16.0,130800.0,11/2/2024
Employed,55+,Phd,Technology,Suburban,High,16.0,133400.0,11/3/2024
Employed,25-34,Ph.D,Finance,Rural,High,24.0,100300.0,11/4/2024
Employed,55+,Not Provided,Health,Delhi,Low,16.0,68800.0,11/5/2024
Employed,55+,Phd,Retail,Urban,High,5.0,22700.0,11/6/2024
Employed,18-24,Ph.D,Tech ,Not Provided,High,2.0,58400.0,11/7/2024
Employed,25-34,Ph.D,Education,Mumbai,Low,21.0,40200.0,11/8/2024
Employed,18-24,High School,Finance,Bangalore,High,16.0,76886.0,11/9/2024
Employed,25-34,Bachelor'S,Retail,Bangalore,Low,22.0,76886.0,11/10/2024
Employed,55+,Phd,Retail,Bangalore,Low,16.0,99100.0,11/11/2024
Employed,25-34,Phd,Education,Not Provided,Moderate,16.0,37200.0,11/12/2024
Employed,35-44,Masters,Healthcare,Hyderabad,High,16.0,142900.0,11/13/2024
Unemployed,55+,High School,Technology,Not Provided,High,16.0,20300.0,11/14/2024
Employed,18-24,High School,Education,Not Provided,High,23.0,56600.0,11/15/2024
Employed,45-54,Ph.D,Retail,Urban,High,16.0,117800.0,11/16/2024
Employed,25-34,Bachelors,Retail,Hyderabad,High,16.0,64800.0,11/17/2024
Employed,55+,Bachelor'S,Health,Not Provided,Moderate,0.0,28000.0,11/18/2024
Unemployed,45-54,Masters,Education,Urban,Medium,16.0,76886.0,11/19/2024
Employed,55+,Not Provided,Education,Suburban,High,16.0,94900.0,11/20/2024
Unemployed,45-54,High School,Health,Hyderabad,High,16.0,16400.0,11/21/2024
Unemployed,45-54,Masters,Tech ,Urban,High,16.0,67300.0,11/22/2024
Employed,35-44,Diploma,Technology,Suburban,Low,16.0,6300.0,11/23/2024
Employed,25-34,Masters,Healthcare,Hyderabad,High,16.0,76886.0,11/24/2024
Employed,35-44,Ph.D,Technology,Suburban,High,7.0,63200.0,11/25/2024
Unemployed,55+,Master,Tech ,Not Provided,Moderate,29.0,53800.0,11/26/2024
Unemployed,25-34,High School,Technology,Delhi,Medium,16.0,106700.0,11/27/2024
Unemployed,55+,High School,Retail,Bangalore,High,16.0,76886.0,11/28/2024
Employed,25-34,Bachelor'S,Finance,Mumbai,Low,16.0,15500.0,11/29/2024
Employed,18-24,Masters,Health,Urban,Medium,11.0,107100.0,11/30/2024
Employed,18-24,Ph.D,Healthcare,Delhi,Low,18.0,53800.0,12/1/2024
Unemployed,35-44,Master,Tech ,Urban,High,21.0,35200.0,12/2/2024
Employed,35-44,Diploma,Healthcare,Urban,Low,16.0,76886.0,12/3/2024
Employed,25-34,Bachelor'S,Technology,Hyderabad,High,16.0,46900.0,12/4/2024
Unemployed,45-54,High School,Tech ,Rural,Low,23.0,149200.0,12/5/2024
Employed,18-24,Phd,Retail,Urban,Low,16.0,37700.0,12/6/2024
Employed,45-54,Masters,Retail,Rural,High,16.0,121300.0,12/7/2024
Employed,25-34,Bachelor'S,Retail,Urban,High,6.0,76886.0,12/8/2024
Employed,18-24,Phd,Retail,Not Provided,Moderate,16.0,95900.0,12/9/2024
Employed,25-34,Phd,Healthcare,Rural,High,16.0,100300.0,12/10/2024
Employed,18-24,Not Provided,Healthcare,Mumbai,High,16.0,50400.0,12/11/2024
Employed,35-44,Diploma,Tech ,Bangalore,Moderate,16.0,49900.0,12/12/2024
Employed,18-24,Not Provided,Tech ,Urban,High,16.0,77300.0,12/13/2024
Employed,25-34,High School,Retail,Urban,Low,16.0,8300.0,12/14/2024
Employed,45-54,High School,Retail,Delhi,Moderate,28.0,112100.0,12/15/2024
Unemployed,25-34,Master,Healthcare,Mumbai,High,16.0,86900.0,12/16/2024
Unemployed,45-54,High School,Health,Not Provided,Medium,26.0,103800.0,12/17/2024
Employed,35-44,Phd,Healthcare,Suburban,Medium,26.0,76886.0,12/18/2024
Unemployed,55+,Masters,Health,Not Provided,Medium,9.0,76886.0,12/19/2024
Unemployed,25-34,Bachelor'S,Healthcare,Urban,High,15.0,38400.0,12/20/2024
Employed,18-24,High School,Education,Not Provided,Low,10.0,82300.0,12/21/2024
Unemployed,25-34,High School,Retail,Urban,High,16.0,76886.0,12/22/2024
Employed,45-54,Master,Retail,Rural,Low,5.0,117600.0,12/23/2024
Unemployed,18-24,Masters,Retail,Suburban,High,16.0,76886.0,12/24/2024
Unemployed,35-44,Bachelor'S,Tech ,Bangalore,Low,16.0,116700.0,12/25/2024
Employed,25-34,High School,Retail,Mumbai,Medium,16.0,76886.0,12/26/2024
Unemployed,18-24,Ph.D,Health,Urban,Medium,16.0,94700.0,12/27/2024
Employed,18-24,Diploma,Finance,Not Provided,Medium,13.0,96200.0,12/28/2024
Unemployed,18-24,Bachelors,Retail,Urban,Low,16.0,38800.0,12/29/2024
Employed,25-34,High School,Finance,Mumbai,High,16.0,76886.0,12/30/2024
Employed,18-24,Master,Healthcare,Hyderabad,High,30.0,18100.0,12/31/2024
Unemployed,25-34,Phd,Retail,Mumbai,High,8.0,128300.0,1/1/2025
Unemployed,45-54,Phd,Retail,Mumbai,Medium,27.0,43200.0,1/2/2025
Unemployed,55+,Bachelors,Retail,Mumbai,Moderate,1.0,43700.0,1/3/2025
Unemployed,18-24,High School,Health,Not Provided,Low,17.0,115300.0,1/4/2025
Unemployed,25-34,Diploma,Retail,Bangalore,Low,1.0,55600.0,1/5/2025
Unemployed,18-24,Phd,Tech ,Urban,Moderate,16.0,105200.0,1/6/2025
Employed,55+,High School,Technology,Bangalore,High,16.0,76886.0,1/7/2025
Unemployed,55+,High School,Education,Not Provided,High,19.0,145700.0,1/8/2025
Employed,45-54,Bachelors,Health,Suburban,Low,16.0,24000.0,1/9/2025
Unemployed,55+,Masters,Retail,Bangalore,Medium,17.0,76886.0,1/10/2025
Employed,18-24,Bachelors,Retail,Rural,High,24.0,145300.0,1/11/2025
Employed,55+,High School,Health,Suburban,Moderate,16.0,30300.0,1/12/2025
Employed,18-24,Master,Healthcare,Delhi,High,2.0,32900.0,1/13/2025
Employed,35-44,High School,Finance,Hyderabad,High,6.0,52900.0,1/14/2025
Employed,18-24,Bachelors, Fintech,Not Provided,Medium,16.0,89900.0,1/15/2025
Employed,35-44,Ph.D,Tech ,Suburban,Moderate,16.0,53900.0,1/16/2025
Unemployed,55+,Bachelor'S,Retail,Mumbai,High,16.0,126500.0,1/17/2025
Employed,25-34,Bachelor'S,Finance,Rural,High,16.0,76886.0,1/18/2025
Unemployed,18-24,Bachelor'S,Retail,Suburban,Low,16.0,67100.0,1/19/2025
Unemployed,55+,Not Provided,Retail,Rural,High,0.0,143300.0,1/20/2025
Employed,35-44,Bachelors,Retail,Urban,Medium,16.0,28000.0,1/21/2025
Employed,55+,High School,Retail,Urban,Low,16.0,88000.0,1/22/2025
Unemployed,18-24,Phd,Retail,Not Provided,Medium,16.0,113700.0,1/23/2025
Employed,35-44,High School,Technology,Mumbai,High,16.0,88500.0,1/24/2025
Employed,55+,High School,Retail,Suburban,High,8.0,65500.0,1/25/2025
Employed,55+,Not Provided,Tech ,Urban,High,22.0,41300.0,1/26/2025
Unemployed,35-44,Bachelor'S,Technology,Suburban,High,16.0,148100.0,1/27/2025
Employed,18-24,High School,Technology,Urban,High,27.0,59900.0,1/28/2025
Employed,45-54,Bachelors,Tech ,Delhi,High,16.0,84800.0,1/29/2025
Employed,25-34,Bachelor'S,Retail,Urban,High,16.0,47700.0,1/30/2025
Unemployed,55+,Masters,Tech ,Rural,Moderate,11.0,68800.0,1/31/2025
Employed,18-24,High School,Retail,Rural,Medium,10.0,42000.0,2/1/2025
Unemployed,18-24,Bachelor'S,Retail,Delhi,High,16.0,22600.0,2/2/2025
Unemployed,45-54,Ph.D,Retail,Urban,High,16.0,30500.0,2/3/2025
Employed,25-34,Phd,Retail,Mumbai,High,16.0,76886.0,2/4/2025
Employed,18-24,Masters,Finance,Urban,High,30.0,29800.0,2/5/2025
Unemployed,55+,High School,Retail,Mumbai,Medium,16.0,7300.0,2/6/2025
Employed,18-24,Not Provided,Retail,Delhi,Low,1.0,131600.0,2/7/2025
Employed,18-24,Ph.D,Tech ,Hyderabad,Low,29.0,44500.0,2/8/2025
Employed,18-24,Not Provided,Tech ,Mumbai,High,14.0,43200.0,2/9/2025
Employed,25-34,Not Provided, Fintech,Suburban,High,16.0,76886.0,2/10/2025
Unemployed,35-44,Master,Retail,Delhi,High,16.0,76886.0,2/11/2025
Unemployed,18-24,Bachelors,Education,Hyderabad,High,16.0,76886.0,2/12/2025
Employed,25-34,Bachelors,Finance,Urban,Low,30.0,104100.0,2/13/2025
Unemployed,18-24,Bachelor'S, Fintech,Delhi,High,16.0,18100.0,2/14/2025
Unemployed,55+,Bachelor'S,Retail,Urban,Moderate,16.0,28200.0,2/15/2025
Employed,55+,Bachelor'S,Healthcare,Hyderabad,Low,18.0,143100.0,2/16/2025
Unemployed,25-34,Bachelors,Healthcare,Delhi,Low,25.0,76886.0,2/17/2025
Unemployed,25-34,Bachelor'S,Finance,Urban,Moderate,16.0,30000.0,2/18/2025
Employed,45-54,Bachelors,Finance,Not Provided,Low,16.0,114700.0,2/19/2025
Employed,18-24,Phd,Tech ,Mumbai,High,20.0,78000.0,2/20/2025
Unemployed,55+,High School,Retail,Hyderabad,Moderate,12.0,97400.0,2/21/2025
Unemployed,25-34,Ph.D,Healthcare,Not Provided,Low,16.0,90000.0,2/22/2025
Employed,18-24,Bachelors, Fintech,Delhi,High,18.0,71400.0,2/23/2025
Employed,45-54,High School,Retail,Hyderabad,Medium,16.0,59600.0,2/24/2025
Unemployed,25-34,Bachelors,Healthcare,Mumbai,High,16.0,137900.0,2/25/2025
Employed,25-34,Diploma,Finance,Hyderabad,High,16.0,85600.0,2/26/2025
Employed,18-24,Not Provided,Tech ,Bangalore,Low,11.0,38800.0,2/27/2025
Employed,18-24,Bachelors,Health,Delhi,Low,16.0,84400.0,2/28/2025
Employed,18-24,High School,Finance,Not Provided,Low,16.0,76886.0,3/1/2025
Employed,35-44,Bachelor'S, Fintech,Not Provided,Moderate,16.0,38600.0,3/2/2025
Unemployed,18-24,Ph.D, Fintech,Mumbai,Medium,11.0,105500.0,3/3/2025
Employed,25-34,Diploma,Healthcare,Mumbai,Moderate,16.0,61600.0,3/4/2025
Unemployed,55+,Diploma,Tech ,Bangalore,Moderate,23.0,77300.0,3/5/2025
Employed,25-34,Ph.D, Fintech,Urban,Moderate,16.0,144200.0,3/6/2025
Employed,55+,Diploma,Retail,Rural,High,16.0,39800.0,3/7/2025
Employed,18-24,Masters,Health,Bangalore,Moderate,16.0,33200.0,3/8/2025
Employed,25-34,High School,Healthcare,Delhi,Medium,16.0,110300.0,3/9/2025
Employed,25-34,Not Provided,Finance,Mumbai,High,28.0,76886.0,3/10/2025
Employed,35-44,Bachelor'S,Healthcare,Delhi,High,20.0,138500.0,3/11/2025
Unemployed,18-24,Masters,Healthcare,Urban,Low,16.0,109000.0,3/12/2025
Employed,45-54,Diploma,Retail,Hyderabad,Low,16.0,9900.0,3/13/2025
Employed,45-54,Ph.D,Retail,Mumbai,Low,16.0,76886.0,3/14/2025
Unemployed,55+,Bachelors,Health,Suburban,High,0.0,75800.0,3/15/2025
Employed,35-44,Bachelors,Technology,Hyderabad,High,14.0,47300.0,3/16/2025
Employed,55+,High School,Technology,Urban,High,29.0,76886.0,3/17/2025
Employed,45-54,Not Provided, Fintech,Delhi,High,16.0,142700.0,3/18/2025
Employed,18-24,Bachelor'S,Health,Suburban,High,16.0,35800.0,3/19/2025
Employed,35-44,High School,Retail,Delhi,Low,16.0,32300.0,3/20/2025
Employed,25-34,High School,Technology,Suburban,High,16.0,51000.0,3/21/2025
Employed,18-24,Bachelor'S,Technology,Urban,High,28.0,128000.0,3/22/2025
Employed,25-34,High School,Finance,Urban,High,20.0,144700.0,3/23/2025
Employed,18-24,Not Provided,Technology,Delhi,Moderate,16.0,89800.0,3/24/2025
Unemployed,18-24,Master, Fintech,Urban,High,29.0,106200.0,3/25/2025
Employed,45-54,Master,Health,Hyderabad,Moderate,16.0,106200.0,3/26/2025
Unemployed,18-24,Not Provided,Technology,Mumbai,High,16.0,66900.0,3/27/2025
Employed,18-24,High School,Education,Not Provided,High,22.0,81800.0,3/28/2025
Employed,18-24,Phd,Healthcare,Hyderabad,Moderate,16.0,7500.0,3/29/2025
Unemployed,25-34,Masters,Retail,Delhi,High,11.0,86800.0,3/30/2025
Unemployed,18-24,High School,Healthcare,Urban,Low,16.0,80800.0,3/31/2025
Employed,25-34,Masters,Technology,Mumbai,High,16.0,144800.0,4/1/2025
Unemployed,18-24,Bachelors,Education,Bangalore,High,16.0,45200.0,4/2/2025
Employed,45-54,High School,Education,Delhi,High,5.0,97600.0,4/3/2025
Employed,55+,Masters,Retail,Urban,Low,16.0,29600.0,4/4/2025
Employed,55+,Not Provided,Retail,Hyderabad,Low,20.0,88600.0,4/5/2025
Employed,45-54,High School, Fintech,Urban,High,24.0,37100.0,4/6/2025
Employed,25-34,Bachelor'S,Healthcare,Rural,Low,16.0,41800.0,4/7/2025
Unemployed,18-24,High School, Fintech,Urban,High,16.0,76886.0,4/8/2025
Unemployed,45-54,Bachelor'S,Healthcare,Bangalore,Low,16.0,76886.0,4/9/2025
Employed,18-24,Master,Education,Delhi,High,16.0,38100.0,4/10/2025
Employed,25-34,Bachelors, Fintech,Rural,High,16.0,76886.0,4/11/2025
Unemployed,25-34,High School,Tech ,Delhi,High,29.0,92200.0,4/12/2025
Employed,55+,Masters,Education,Delhi,Medium,14.0,117100.0,4/13/2025
Employed,25-34,High School,Health,Suburban,High,16.0,76886.0,4/14/2025
Employed,18-24,Phd,Education,Urban,High,16.0,78600.0,4/15/2025
Employed,18-24,Phd,Retail,Delhi,Moderate,5.0,111000.0,4/16/2025
Unemployed,18-24,Masters,Tech ,Not Provided,Moderate,16.0,82600.0,4/17/2025
Employed,35-44,High School,Retail,Suburban,Moderate,16.0,139600.0,4/18/2025
Employed,25-34,Not Provided,Education,Mumbai,Low,16.0,87900.0,4/19/2025
Employed,45-54,Not Provided,Education,Urban,High,16.0,24200.0,4/20/2025
Employed,55+,Ph.D,Education,Urban,Moderate,16.0,56100.0,4/21/2025
Employed,18-24,High School,Healthcare,Hyderabad,Medium,18.0,76886.0,4/22/2025
Unemployed,18-24,Bachelors,Finance,Hyderabad,Low,24.0,114400.0,4/23/2025
Unemployed,55+,Ph.D,Tech ,Delhi,High,25.0,139500.0,4/24/2025
Employed,18-24,Master, Fintech,Urban,Medium,21.0,102200.0,4/25/2025
Unemployed,18-24,Not Provided,Tech ,Mumbai,Medium,16.0,64500.0,4/26/2025
Unemployed,55+,Not Provided,Technology,Urban,Low,16.0,33300.0,4/27/2025
Employed,55+,High School,Health,Not Provided,High,7.0,77700.0,4/28/2025
Unemployed,18-24,Phd,Finance,Bangalore,High,10.0,22200.0,4/29/2025
Employed,25-34,Master,Retail,Not Provided,Low,5.0,76886.0,4/30/2025
Unemployed,25-34,Master, Fintech,Suburban,Low,16.0,76886.0,5/1/2025
Employed,18-24,Not Provided,Retail,Rural,Moderate,16.0,76886.0,5/2/2025
Employed,18-24,Diploma,Retail,Not Provided,Low,16.0,103800.0,5/3/2025
Employed,55+,Bachelors,Finance,Not Provided,High,16.0,34800.0,5/4/2025
Unemployed,35-44,Masters,Education,Not Provided,High,16.0,76886.0,5/5/2025
Employed,18-24,Not Provided, Fintech,Hyderabad,Moderate,14.0,11900.0,5/6/2025
Unemployed,18-24,Masters,Finance,Rural,Moderate,16.0,94800.0,5/7/2025
Unemployed,25-34,High School,Retail,Suburban,Moderate,20.0,113500.0,5/8/2025
Employed,25-34,Bachelor'S,Health,Suburban,Low,16.0,43900.0,5/9/2025
Unemployed,18-24,Bachelors,Technology,Mumbai,Low,6.0,25900.0,5/10/2025
Unemployed,25-34,Bachelor'S,Healthcare,Not Provided,High,28.0,110600.0,5/11/2025
Unemployed,18-24,Masters,Finance,Suburban,Low,19.0,121400.0,5/12/2025
Unemployed,25-34,Phd,Education,Mumbai,Low,20.0,145700.0,5/13/2025
Employed,18-24,Phd,Education,Urban,Medium,16.0,76886.0,5/14/2025
Unemployed,18-24,Masters, Fintech,Urban,Low,1.0,105700.0,5/15/2025
Unemployed,25-34,Ph.D,Education,Not Provided,Low,8.0,42200.0,5/16/2025
Employed,18-24,Ph.D,Education,Delhi,Moderate,16.0,88300.0,5/17/2025
Unemployed,25-34,Diploma,Health,Bangalore,Moderate,7.0,68600.0,5/18/2025
Employed,25-34,High School,Retail,Suburban,High,15.0,53800.0,5/19/2025
Employed,55+,Diploma,Healthcare,Delhi,High,16.0,102000.0,5/20/2025
Unemployed,55+,Not Provided,Healthcare,Hyderabad,Low,29.0,37800.0,5/21/2025
Employed,35-44,High School,Finance,Rural,Low,16.0,76886.0,5/22/2025
Employed,18-24,Bachelors, Fintech,Suburban,High,22.0,120200.0,5/23/2025
Employed,45-54,Bachelors, Fintech,Delhi,Low,16.0,28600.0,5/24/2025
Unemployed,35-44,High School, Fintech,Mumbai,Low,16.0,105900.0,5/25/2025
Unemployed,18-24,Ph.D, Fintech,Delhi,Low,5.0,91400.0,5/26/2025
Employed,55+,Bachelor'S,Education,Not Provided,High,3.0,80800.0,5/27/2025
Employed,55+,Bachelor'S,Healthcare,Delhi,Low,16.0,43200.0,5/28/2025
Employed,35-44,Bachelors,Retail,Suburban,Low,4.0,77600.0,5/29/2025
Employed,25-34,High School, Fintech,Bangalore,High,16.0,94100.0,5/30/2025
Employed,25-34,High School,Health,Delhi,High,16.0,6400.0,5/31/2025
Unemployed,25-34,Bachelor'S,Retail,Urban,High,16.0,46400.0,6/1/2025
Unemployed,25-34,Ph.D,Technology,Rural,Low,4.0,145700.0,6/2/2025
Unemployed,45-54,Not Provided,Healthcare,Delhi,Low,16.0,56000.0,6/3/2025
Employed,45-54,High School,Retail,Mumbai,Medium,16.0,73500.0,6/4/2025
Unemployed,35-44,Master,Finance,Urban,Low,26.0,108400.0,6/5/2025
Employed,25-34,Not Provided,Retail,Urban,Moderate,7.0,79300.0,6/6/2025
Unemployed,45-54,Bachelor'S,Retail,Not Provided,Medium,16.0,35900.0,6/7/2025
Employed,18-24,Not Provided,Healthcare,Rural,High,16.0,76886.0,6/8/2025
Employed,18-24,Bachelor'S,Health,Urban,Medium,16.0,69700.0,6/9/2025
Unemployed,18-24,High School,Finance,Suburban,Low,10.0,24700.0,6/10/2025
Unemployed,18-24,Ph.D,Tech ,Rural,High,16.0,9700.0,6/11/2025
Employed,35-44,Not Provided,Health,Bangalore,High,16.0,76886.0,6/12/2025
Employed,35-44,High School,Retail,Hyderabad,High,16.0,76886.0,6/13/2025
Unemployed,55+,Masters,Retail,Bangalore,High,16.0,117800.0,6/14/2025
Employed,45-54,Master,Technology,Urban,Moderate,16.0,145700.0,6/15/2025
Unemployed,55+,Masters,Healthcare,Suburban,Low,20.0,25000.0,6/16/2025
Unemployed,45-54,Masters, Fintech,Bangalore,Moderate,8.0,43400.0,6/17/2025
Unemployed,25-34,Diploma,Retail,Mumbai,Low,16.0,121600.0,6/18/2025
Employed,25-34,Diploma,Healthcare,Not Provided,Medium,16.0,82400.0,6/19/2025
Employed,25-34,Not Provided, Fintech,Urban,Low,16.0,16200.0,6/20/2025
Employed,45-54,Not Provided,Finance,Suburban,High,26.0,76886.0,6/21/2025
Unemployed,18-24,Not Provided,Finance,Suburban,High,19.0,71300.0,6/22/2025
Unemployed,55+,Masters,Retail,Suburban,Low,16.0,87600.0,6/23/2025
Employed,18-24,Phd, Fintech,Bangalore,Low,16.0,122900.0,6/24/2025
Unemployed,45-54,Phd,Healthcare,Not Provided,High,16.0,102100.0,6/25/2025
Employed,45-54,Bachelor'S, Fintech,Bangalore,Medium,13.0,76886.0,6/26/2025
Employed,25-34,Ph.D,Finance,Rural,Moderate,16.0,76886.0,6/27/2025
Employed,55+,High School,Retail,Urban,High,16.0,107900.0,6/28/2025
Unemployed,25-34,Masters,Retail,Not Provided,High,16.0,25100.0,6/29/2025
Employed,25-34,Not Provided,Health,Bangalore,Moderate,16.0,76886.0,6/30/2025
Unemployed,18-24,Masters, Fintech,Hyderabad,Low,16.0,43700.0,7/1/2025
Employed,25-34,Diploma,Tech ,Urban,Low,16.0,70600.0,7/2/2025
Employed,35-44,Diploma,Health,Urban,Medium,16.0,137900.0,7/3/2025
Employed,25-34,Diploma,Finance,Bangalore,High,21.0,39700.0,7/4/2025
Unemployed,55+,Diploma,Healthcare,Hyderabad,Low,16.0,22900.0,7/5/2025
Employed,18-24,Masters,Finance,Rural,High,16.0,6400.0,7/6/2025
Employed,35-44,Ph.D,Retail,Suburban,High,16.0,60700.0,7/7/2025
Employed,45-54,Masters,Finance,Urban,High,16.0,76886.0,7/8/2025
Employed,55+,Bachelors,Education,Not Provided,High,16.0,76886.0,7/9/2025
Employed,45-54,Ph.D,Health,Delhi,Medium,10.0,146200.0,7/10/2025
Unemployed,18-24,Bachelor'S,Retail,Mumbai,High,9.0,76886.0,7/11/2025
Employed,25-34,High School,Retail,Urban,Medium,21.0,28100.0,7/12/2025
Unemployed,55+,Not Provided, Fintech,Hyderabad,Moderate,16.0,142800.0,7/13/2025
Employed,25-34,Bachelor'S,Retail,Not Provided,Medium,16.0,107400.0,7/14/2025
Employed,45-54,Bachelor'S, Fintech,Delhi,High,9.0,52600.0,7/15/2025
Employed,45-54,Bachelors, Fintech,Mumbai,Moderate,12.0,32900.0,7/16/2025
Employed,55+,Masters,Retail,Hyderabad,Low,16.0,76886.0,7/17/2025
Unemployed,25-34,High School,Technology,Mumbai,Low,16.0,76886.0,7/18/2025
Unemployed,35-44,Bachelor'S,Education,Urban,Moderate,20.0,78600.0,7/19/2025
Unemployed,55+,Not Provided,Retail,Delhi,High,27.0,47600.0,7/20/2025
Employed,35-44,Phd,Technology,Suburban,High,16.0,56200.0,7/21/2025
Employed,35-44,Bachelors,Retail,Suburban,High,16.0,56700.0,7/22/2025
Unemployed,25-34,Phd,Retail,Rural,Low,16.0,18300.0,7/23/2025
Unemployed,35-44,Bachelors,Retail,Not Provided,High,16.0,124400.0,7/24/2025
Employed,35-44,Phd,Finance,Urban,High,2.0,41900.0,7/25/2025
Unemployed,18-24,Phd,Healthcare,Delhi,High,7.0,26100.0,7/26/2025
Unemployed,35-44,Ph.D,Retail,Bangalore,Medium,16.0,41800.0,7/27/2025
Employed,35-44,Diploma,Retail,Rural,High,16.0,141200.0,7/28/2025
Employed,25-34,High School,Retail,Delhi,Low,16.0,132100.0,7/29/2025
Employed,45-54,Phd, Fintech,Hyderabad,Low,26.0,110600.0,7/30/2025
Unemployed,18-24,Bachelor'S,Retail,Bangalore,High,16.0,94400.0,7/31/2025
Unemployed,18-24,Not Provided,Health,Urban,Medium,30.0,81600.0,8/1/2025
Employed,18-24,Not Provided,Finance,Mumbai,High,8.0,115800.0,8/2/2025
Employed,25-34,Bachelors,Healthcare,Delhi,Moderate,16.0,125000.0,8/3/2025
Employed,55+,Masters,Healthcare,Hyderabad,Low,16.0,145400.0,8/4/2025
Employed,18-24,High School,Health,Bangalore,Low,5.0,108300.0,8/5/2025
Unemployed,25-34,High School,Tech ,Mumbai,Low,30.0,64500.0,8/6/2025
Unemployed,18-24,Phd,Retail,Urban,Low,17.0,71300.0,8/7/2025
Unemployed,55+,Phd,Tech ,Urban,High,16.0,69400.0,8/8/2025
Employed,35-44,Master, Fintech,Hyderabad,Medium,16.0,92500.0,8/9/2025
Unemployed,18-24,High School, Fintech,Suburban,High,6.0,135000.0,8/10/2025
Employed,35-44,High School,Retail,Urban,High,16.0,36300.0,8/11/2025
Employed,18-24,Masters,Healthcare,Mumbai,Medium,23.0,98700.0,8/12/2025
Employed,45-54,High School, Fintech,Rural,Moderate,16.0,67400.0,8/13/2025
Employed,25-34,Ph.D,Technology,Delhi,Low,20.0,115700.0,8/14/2025
Unemployed,18-24,Diploma,Retail,Mumbai,Low,17.0,12400.0,8/15/2025
Unemployed,18-24,Bachelor'S,Retail,Mumbai,High,16.0,76886.0,8/16/2025
Employed,55+,Masters,Retail,Suburban,High,16.0,76886.0,8/17/2025
Employed,18-24,High School,Retail,Urban,High,1.0,90000.0,8/18/2025
Unemployed,25-34,Masters,Retail,Suburban,Medium,21.0,60800.0,8/19/2025
Unemployed,18-24,Master, Fintech,Bangalore,High,16.0,55300.0,8/20/2025
Unemployed,25-34,Not Provided,Healthcare,Not Provided,Moderate,6.0,18000.0,8/21/2025
Unemployed,25-34,Ph.D,Healthcare,Urban,High,2.0,13100.0,8/22/2025
Unemployed,25-34,Bachelor'S,Healthcare,Urban,Low,16.0,114700.0,8/23/2025
Employed,18-24,Phd,Education,Hyderabad,Medium,16.0,57300.0,8/24/2025
Unemployed,25-34,Masters,Retail,Rural,Low,16.0,122000.0,8/25/2025
Employed,18-24,Diploma,Retail,Suburban,High,16.0,7900.0,8/26/2025
Employed,18-24,Diploma,Healthcare,Not Provided,Low,0.0,76886.0,8/27/2025
Unemployed,25-34,Ph.D,Health,Rural,Low,20.0,118600.0,8/28/2025
Unemployed,55+,High School,Healthcare,Urban,Low,9.0,76886.0,8/29/2025
Unemployed,25-34,Bachelor'S,Finance,Mumbai,Low,16.0,72200.0,8/30/2025
Unemployed,25-34,Bachelors,Education,Mumbai,High,26.0,35500.0,8/31/2025
Unemployed,18-24,Ph.D,Health,Urban,High,16.0,129300.0,9/1/2025
Employed,55+,Diploma,Retail,Delhi,Moderate,16.0,126500.0,9/2/2025
Employed,25-34,Masters,Healthcare,Rural,Low,16.0,36900.0,9/3/2025
Employed,35-44,Bachelor'S,Retail,Not Provided,Low,2.0,76886.0,9/4/2025
Unemployed,18-24,Bachelors,Healthcare,Urban,High,16.0,47100.0,9/5/2025
Employed,45-54,Masters,Tech ,Urban,Medium,16.0,76886.0,9/6/2025
Employed,18-24,Ph.D,Technology,Delhi,High,2.0,10800.0,9/7/2025
Unemployed,18-24,High School,Technology,Mumbai,Medium,10.0,89900.0,9/8/2025
Employed,18-24,Bachelor'S,Education,Hyderabad,High,16.0,147900.0,9/9/2025
Unemployed,18-24,Master, Fintech,Suburban,Moderate,19.0,76886.0,9/10/2025
Unemployed,45-54,Ph.D,Tech ,Delhi,High,9.0,32300.0,9/11/2025
Employed,55+,Ph.D,Education,Urban,High,16.0,66800.0,9/12/2025
Unemployed,25-34,Diploma,Retail,Rural,Low,28.0,70600.0,9/13/2025
Unemployed,35-44,High School,Education,Delhi,High,13.0,138600.0,9/14/2025
Employed,35-44,Ph.D,Retail,Bangalore,High,16.0,51800.0,9/15/2025
Employed,25-34,Masters,Healthcare,Bangalore,Moderate,16.0,119000.0,9/16/2025
Employed,18-24,High School,Healthcare,Urban,Low,16.0,8100.0,9/17/2025
Employed,18-24,Ph.D,Health,Mumbai,Medium,5.0,112300.0,9/18/2025
Employed,18-24,High School,Retail,Rural,High,14.0,33700.0,9/19/2025
Employed,18-24,Ph.D,Education,Not Provided,Low,16.0,67300.0,9/20/2025
